,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,10,96.0
1,ticks_20250820.xlsx,100,-32.0
2,ticks_20250821.xlsx,10,39.0
3,ticks_20250822.xlsx,44,20.0
4,ticks_20250825.xlsx,24,35.0
5,ticks_20250826.xlsx,36,46.0
6,ticks_20250827.xlsx,84,16.0
7,ticks_20250828.xlsx,100,-39.0
8,ticks_20250829.xlsx,100,-28.0
9,ticks_20250901.xlsx,94,9.0
10,ticks_20250902.xlsx,10,53.0
11,ticks_20250903.xlsx,12,132.0
12,ticks_20250904.xlsx,100,-13.0
13,ticks_20250905.xlsx,100,-34.0
14,ticks_20250908.xlsx,100,-76.0
15,ticks_20250909.xlsx,100,-30.0
16,ticks_20250910.xlsx,14,-5.0
17,ticks_20250911.xlsx,52,-19.0
18,ticks_20250912.xlsx,82,2.0
19,ticks_20250916.xlsx,100,-41.0
20,ticks_20250917.xlsx,86,46.0
21,ticks_20250918.xlsx,20,33.0
22,ticks_20250919.xlsx,100,-48.0
23,ticks_20250922.xlsx,40,48.0
24,ticks_20250924.xlsx,100,-53.0
25,ticks_20250925.xlsx,58,44.0
26,ticks_20250926.xlsx,64,-12.0
27,ticks_20250929.xlsx,100,-43.0
28,ticks_20250930.xlsx,50,32.0
29,ticks_20251001.xlsx,48,54.0
30,ticks_20251002.xlsx,4,39.0
31,ticks_20251003.xlsx,100,-35.0
32,ticks_20251006.xlsx,24,-18.0
33,ticks_20251007.xlsx,64,65.0
34,ticks_20251008.xlsx,100,-77.0
35,ticks_20251009.xlsx,4,116.0
36,ticks_20251010.xlsx,2,104.0
37,ticks_20251014.xlsx,70,85.0
38,ticks_20251015.xlsx,100,-87.0
39,ticks_20251016.xlsx,22,-7.0
40,ticks_20251017.xlsx,100,-89.0
41,ticks_20251020.xlsx,58,-18.0
42,ticks_20251021.xlsx,60,179.0
43,ticks_20251022.xlsx,100,-52.0
44,ticks_20251023.xlsx,100,-77.0
45,ticks_20251024.xlsx,14,43.0
46,ticks_20251027.xlsx,30,60.0
47,ticks_20251028.xlsx,100,-69.0
48,ticks_20251029.xlsx,10,87.0
49,ticks_20251031.xlsx,100,-66.0
50,ticks_20251104.xlsx,8,98.0
51,ticks_20251105.xlsx,8,36.0
52,ticks_20251106.xlsx,100,-33.0
53,ticks_20251107.xlsx,18,95.0
54,ticks_20251110.xlsx,6,49.0
55,ticks_20251111.xlsx,100,-33.0
56,ticks_20251112.xlsx,100,-26.0
57,ticks_20251113.xlsx,100,-26.0
58,ticks_20251114.xlsx,14,70.0
